session_id,rep_index,global_rep_id,err_knee_flexion_at_bottom,err_knee_flexion_range,err_trunk_lean_at_bottom,err_trunk_lean_mean,err_trunk_lean_max,err_trunk_lean_range,err_trunk_lean_at_end,err_descent_ascent_ratio,err_descent_time_s,err_ascent_time_s,err_knee_vel_max_descent,err_knee_vel_max_ascent,err_knee_jerk_max,err_knee_jerk_rms,err_normalized_jerk_cost
33088_1,0,42,0.0013282682215348543,0.00047436614030970807,0.003280622621409451,0.002510710799372915,0.0011947328894799088,0.0009808725343371314,0.001127185940228348,0.00808603674940442,3.7261344379017213e-06,0.0001927450831593769,0.039924944028718864,0.03156597015104808,0.02500332805329302,0.0008440485771593218,0.0002745727925803467
33088_1,1,43,0.001374568358902788,0.0002738336403295111,0.00912810587687279,0.0022834751894263037,0.00040303376635878173,0.0006612941435662335,0.02216914829130058,0.00951380889849496,0.028496008250968794,0.017423540992101662,0.06149570306123488,0.03828621478070149,0.026495184452532218,0.02721985811508584,3.837488678677158e-06
33090_7,0,44,0.007987618866116293,0.013999886457190918,0.0021345289590048383,0.0009733325903292382,0.01358415003302662,0.006273318463459634,0.003008067310673554,0.0003541927933324941,0.00015989679801117076,0.00021847732416845165,0.008264587127241532,0.00015412308131472371,2.6809997984004183e-05,0.001991897467553108,3.2110420335872584e-05
33090_7,1,45,0.01073130506302944,0.026044764640748917,0.024193219895762993,0.007441937577134158,0.007644364108588668,0.0020387330670238323,0.004003625268066636,0.0014311353966503166,2.8881691982910375e-05,9.737839335114708e-05,0.04025912392608415,0.034323589548052535,0.020645389714616116,9.52790708722335e-05,0.00047124167971026844
33095_3,0,46,0.010652524323232646,0.00830852671907194,0.013737223337408002,0.00036218816796207827,0.0025512045272594237,0.0001797958705530786,0.0010728317194111886,0.001941563920788107,0.0016644469090783388,0.003154393419378503,0.08364447140977194,0.15496074884672345,0.03679413699948805,0.001774360163015103,0.0009419193283216289
33104_4,0,47,0.00028323029559799973,0.0005285256580104945,0.041772649025460885,0.003599546113934169,0.02374085821947723,0.00047863481654472005,0.037131720566063973,0.0015077114390010372,5.776797366090934e-07,6.28934224733087e-05,0.05419012305034186,0.19388223346870018,0.015301806920777688,0.014826950280444928,0.0011264442569050392
33104_4,1,48,0.0016416630976696734,0.00802235236815855,0.03219780482570034,0.007825322388750893,0.0012097145519493055,1.7355283996823253e-08,0.012530568713253856,0.009224498304303077,0.005736919153762107,0.003994272004093165,0.0012486692948706815,0.08745662414539311,0.08759474847335154,0.026144629396269988,0.00037428634367342423
33117_1,0,49,0.02537416166199631,0.021130608832490714,0.044763519931297784,0.0072887775247573216,4.354137351925762e-06,0.010146712551949677,0.10230814505424964,0.00760366897211814,0.02865415213606168,0.03386197028470664,0.005839910029255816,0.34178103961985323,0.024016653772846168,0.0009290321462424142,0.0008172143257233719
33117_1,1,50,0.005748572412242024,0.010982058628079858,0.0003228224808694351,0.033254074609911366,0.0012646541557198316,0.00477242726584731,0.04550603271064897,0.010934779666398262,0.002374574379600569,0.0009248765798665984,0.11388198118227102,0.00013192102735761415,0.0386321632702862,0.00663688639699247,0.00017298760035599646
33124_2,0,51,0.0032109667946950905,0.011747945822025641,0.03901909827487723,2.9017521651228866e-06,0.043049687781014354,0.00673047072481001,0.0061048702866096346,0.007785614312592678,0.004763937244770344,0.003931478553114986,0.007771197686434151,0.10101402718025686,0.011564528943141698,0.0033279996004491846,0.0005926486716542746
